Headline,Source,Issue date,URL,Summary
Estee Lauder: Fiscal Q3 Earnings Snapshot,Yahoo,2025-05-01 10:08:19,https://finnhub.io/api/news?id=d7f6c59f4b8956de1f7518621b7dd02af753c97c4835f5b9a46e4cedd54485d0,NEW YORK (AP) — Estee Lauder Companies Inc. EL) on Thursday reported fiscal third-quarter profit of $159 million. The New York-based company said it had net income of 44 cents per share.
The Estée Lauder Companies Reports Fiscal 2025 Third Quarter Results,Yahoo,2025-05-01 10:00:00,https://finnhub.io/api/news?id=97f10a3de32b05908260ad9cd1ecb4be28cf3c109f326742b83ab16a49046be2,"NEW YORK, May 01, 2025--The Estée Lauder Companies Inc. (NYSE: EL) today reported its financial results for the third quarter ended March 31, 2025."
Estee Lauder sees bigger-than-expected drop in annual sales as demand softens,Finnhub,2025-05-01 09:00:02,https://finnhub.io/api/news?id=a7e876c9b3d80c9a38bd7a2b986c8f38a678ea6b7bedac38986e22a4895f4d71,"Cosmetics giant Estee Lauderforecast a bigger-than-expected drop in fiscal 2025 sales onThursday, signaling a slowdown in demand for beauty products inthe American market and a longer road to..."
Estee Lauder sees bigger-than-expected drop in annual sales on softening demand,Finnhub,2025-05-01 06:57:45,https://finnhub.io/api/news?id=c2d9d7bf569b30d741b14ab1ed26ed5e6ff7a285d572e34dd89a0475503b97b7,"Cosmetics giant Estee Lauderforecast a bigger-than-expected drop in fiscal 2025 sales onThursday, signaling a slowdown in demand for beauty products inthe American market and a longer road to..."
Estee Lauder expects bigger-than-expected drop in annual sales on slowing demand,Finnhub,2025-05-01 06:12:06,https://finnhub.io/api/news?id=45c027d04618d211347f0c855fcb3ccd29b3d674463ff4ecb2a036b24efc4cc1,"Cosmetics giant Estee Lauderforecast a bigger-than-expected drop in fiscal 2025 sales onThursday, signaling slowdown in the American market and a longerroad to recovery for demand in key China..."
Estee Lauder posts smaller-than-expected drop in quarterly sales,Finnhub,2025-05-01 06:09:52,https://finnhub.io/api/news?id=61385bc2d03e8164b7b684a8575bc8e43a9beb266f5546101b3aab436fc8f45f,"Cosmetics giant Estee Lauder posted a smaller-than-expected drop in third-quarter sales on Thursday, supported by resilient demand for its fragrances and haircare even as the broader makeup and..."
"Carl Haney, Executive Vice President, Global Innovation and Research & Development to Depart The Estée Lauder Companies",Yahoo,2025-04-30 22:00:00,https://finnhub.io/api/news?id=de89168b571a494c606b18a4efbda99a9fe4e98c5e1bc1fdf11cf3d26d7a0267,"NEW YORK, April 30, 2025--Today, The Estée Lauder Companies Inc. (NYSE: EL) announced that Carl Haney, Executive Vice President, Global Innovation and Research & Development (R&D), will depart the company effective June 30, 2025 to pursue new opportunities. With Carl’s transition, the company intends to bring in new external talent to drive the next era of transformative innovation in line with its strategic vision of becoming the best, most consumer-centric, prestige beauty company in the world"
Seeking Clues to Estee Lauder (EL) Q3 Earnings? A Peek Into Wall Street Projections for Key Metrics,Yahoo,2025-04-30 13:15:21,https://finnhub.io/api/news?id=69b18cd0685b59870cbc6c7d4cb36d74eef0610442a11ab6454ca777d3e656af,"Evaluate the expected performance of Estee Lauder (EL) for the quarter ended March 2025, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight."
Estee Lauder Companies - ELC Partners With Microsoft to Create ConsumerIQ Tool for Data-Driven Insights,Finnhub,2025-04-30 10:57:25,https://finnhub.io/api/news?id=ed74b0f760f4a14ca437a5ad3df6c3fc22199fae01cde30e27a1f86ffc18f14c,"Today, Microsoft featured The Estee Lauder Companies for the company's creation of a custom agent designed to connect and streamline information, generate intelligence, and help turn insights into..."
Driscoll's Names Gaelle Le Meur as Chief People Officer,Finnhub,2025-04-30 09:08:26,https://finnhub.io/api/news?id=64f7482a8864d62c0667180f05f69cbefab43cb6da3b928bb6d497019c72e38d,"WATSONVILLE, Calif. - Driscoll's today announced the appointment of Gaelle Le Meur as Chief People Officer. Reporting directly to Driscoll's CEO, Soren Bjorn, Gaelle will lead the company's global..."
The US economy may have avoided a recession so far. Here's how that could change.,Yahoo,2025-04-30 08:00:21,https://finnhub.io/api/news?id=f07896e201d51b44cce85cc6b8b62a41b110cd659e07977718418128994f38c9,"Rising tariff tensions and softening sentiment are pressuring the US labor market, raising fears of a recession later this year."
Estée Lauder (EL) To Report Earnings Tomorrow: Here Is What To Expect,Yahoo,2025-04-30 07:02:53,https://finnhub.io/api/news?id=562d095d5e5fe89a4baf1cbba3337140d5a2436a71273ddefdc5ecc0e4afd27c,Beauty products company Estée Lauder (NYSE:EL) will be reporting earnings tomorrow before market hours. Here’s what to look for.
The Estée Lauder Companies Inc. (EL): Among Large-Cap Stocks Insiders Were Buying in Q1 2025 Before Trump’s Tariff Shockwave,Yahoo,2025-04-30 00:03:37,https://finnhub.io/api/news?id=d6e63babd99d90664a17bd5120d593c3a379b11043fcd6d83eda2cffeb64bfe0,"We recently published a list of 12 Large-Cap Stocks Insiders Were Buying in Q1 2025 Before Trump’s Tariff Shockwave. In this article, we are going to take a look at where The Estée Lauder Companies Inc. (NYSE:EL) stands against other large-cap stocks insiders were buying in Q1 2025 before Trump’s tariff shockwave. US stocks surged […]"
Coty (COTY) Reports Next Week: What You Should Expect,Yahoo,2025-04-29 14:01:24,https://finnhub.io/api/news?id=b65455c108429eee48d57e017a600cf61f35c61c870fc14c7b4591e7c469f74a,Coty (COTY) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.
The Estée Lauder Companies Inc. (NYSE: EL) Investor Alert,Finnhub,2025-04-28 23:01:06,https://finnhub.io/api/news?id=146f355086092a390614faf460dce9a9adb70cb39b0d80095c4e7bf700aa3f95,"SAN FRANCISCO, April 28, 2025 /PRNewswire/ -- Schubert Jonckheer & Kolbe LLP advises The Estée Lauder Companies Inc. investors that the firm is investigating potential legal claims relating to..."
